"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","01-Apr-2021","        517.30","        519.95","        523.90","        514.55","        520.45","        520.80","        519.84","    6980458","          3628704761.80","      83069","    2880529","         41.27"
"BHARTIARTL","EQ","05-Apr-2021","        520.80","        520.80","        529.00","        514.60","        528.05","        528.25","        521.82","    9203847","          4802722483.05","      92553","    2821698","         30.66"
"BHARTIARTL","EQ","06-Apr-2021","        528.25","        528.50","        537.85","        524.55","        532.50","        532.20","        532.86","   12873443","          6859684394.45","     133794","    4322722","         33.58"
"BHARTIARTL","EQ","07-Apr-2021","        532.20","        537.00","        546.90","        535.25","        541.00","        541.60","        542.17","   20997280","         11384107645.10","     192193","    7853925","         37.40"
"BHARTIARTL","EQ","08-Apr-2021","        541.60","        546.80","        548.55","        540.50","        542.00","        543.00","        544.62","   11157958","          6076850707.35","     113476","    3153147","         28.26"
"BHARTIARTL","EQ","09-Apr-2021","        543.00","        539.50","        549.75","        536.50","        544.35","        545.25","        543.69","   11426998","          6212767261.60","     120161","    3156352","         27.62"
"BHARTIARTL","EQ","12-Apr-2021","        545.25","        537.55","        538.85","        518.50","        523.50","        522.45","        526.60","    9687846","          5101596995.30","     131068","    3848839","         39.73"
"BHARTIARTL","EQ","13-Apr-2021","        522.45","        526.40","        540.00","        523.10","        536.85","        536.15","        530.96","    6535007","          3469800867.35","      90447","    2169720","         33.20"
"BHARTIARTL","EQ","15-Apr-2021","        536.15","        540.00","        546.15","        530.25","        538.05","        539.35","        538.26","    9805711","          5278033639.50","     104489","    3407798","         34.75"
"BHARTIARTL","EQ","16-Apr-2021","        539.35","        540.05","        544.15","        538.00","        539.00","        540.75","        541.28","    6157781","          3333066008.55","      68143","    2882361","         46.81"
"BHARTIARTL","EQ","19-Apr-2021","        540.75","        532.25","        535.00","        523.25","        526.60","        526.45","        527.42","    7232945","          3814784409.40","     112044","    3115681","         43.08"
"BHARTIARTL","EQ","20-Apr-2021","        526.45","        529.00","        537.00","        525.90","        529.00","        530.20","        531.74","    7233304","          3846248822.80","      82776","    3258127","         45.04"
"BHARTIARTL","EQ","22-Apr-2021","        530.20","        530.00","        533.40","        526.05","        530.10","        530.85","        530.11","    6552131","          3473379509.90","      98115","    3224101","         49.21"
"BHARTIARTL","EQ","23-Apr-2021","        530.85","        529.00","        532.45","        519.10","        522.75","        522.60","        525.85","    6992388","          3676918378.85","      94602","    3237319","         46.30"
"BHARTIARTL","EQ","26-Apr-2021","        522.60","        522.75","        528.50","        522.75","        527.20","        527.55","        526.12","    5819893","          3061970698.80","      70201","    2682701","         46.10"
"BHARTIARTL","EQ","27-Apr-2021","        527.55","        527.45","        538.55","        526.25","        535.50","        534.30","        534.45","    9693047","          5180449355.40","      99563","    3413478","         35.22"
"BHARTIARTL","EQ","28-Apr-2021","        534.30","        535.95","        548.00","        535.60","        543.75","        544.30","        542.82","   11970652","          6497866112.15","     125600","    4344243","         36.29"
"BHARTIARTL","EQ","29-Apr-2021","        544.30","        549.70","        550.00","        539.10","        540.20","        540.85","        542.81","    8683857","          4713693574.75","      98579","    3138384","         36.14"
"BHARTIARTL","EQ","30-Apr-2021","        540.85","        533.50","        547.00","        533.50","        535.50","        536.75","        540.94","    8178192","          4423888615.05","     106580","    3045108","         37.23"
