"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","01-Apr-2021","       4516.00","       4550.00","       4594.95","       4522.05","       4585.05","       4587.65","       4564.43","     647640","          2956107711.35","      52621","     252282","         38.95"
"DRREDDY","EQ","05-Apr-2021","       4587.65","       4560.00","       4584.00","       4423.90","       4565.00","       4556.60","       4523.33","     732258","          3312244367.85","      52046","     248890","         33.99"
"DRREDDY","EQ","06-Apr-2021","       4556.60","       4559.00","       4639.90","       4542.00","       4625.00","       4619.25","       4612.77","     742294","          3424033341.20","      50821","     243650","         32.82"
"DRREDDY","EQ","07-Apr-2021","       4619.25","       4662.30","       4734.00","       4641.00","       4680.00","       4692.65","       4697.01","    1113612","          5230649014.25","      81501","     518605","         46.57"
"DRREDDY","EQ","08-Apr-2021","       4692.65","       4692.75","       4756.00","       4661.20","       4705.00","       4689.05","       4716.40","     660635","          3115815793.60","      47675","     149635","         22.65"
"DRREDDY","EQ","09-Apr-2021","       4689.05","       4692.90","       4794.00","       4691.25","       4765.00","       4760.30","       4750.49","    1362147","          6470861607.40","      90542","     518950","         38.10"
"DRREDDY","EQ","12-Apr-2021","       4760.30","       4775.00","       5120.00","       4695.00","       5098.00","       4996.95","       4906.69","    3513765","         17240953865.35","     230750","     980590","         27.91"
"DRREDDY","EQ","13-Apr-2021","       4996.95","       5144.70","       5144.70","       4751.10","       4799.45","       4777.30","       4881.45","    3937234","         19219395154.70","     249793","     682609","         17.34"
"DRREDDY","EQ","15-Apr-2021","       4777.30","       4842.90","       4875.05","       4785.00","       4843.00","       4845.55","       4837.45","    1386901","          6709069450.65","      96985","     237059","         17.09"
"DRREDDY","EQ","16-Apr-2021","       4845.55","       4863.80","       4940.00","       4815.20","       4883.00","       4893.25","       4884.44","    1198029","          5851701418.45","      82710","     213502","         17.82"
"DRREDDY","EQ","19-Apr-2021","       4893.25","       4893.00","       5005.00","       4807.05","       5004.70","       4968.10","       4942.02","    1843928","          9112724126.80","     135368","     373386","         20.25"
"DRREDDY","EQ","20-Apr-2021","       4968.10","       5100.00","       5210.75","       5089.50","       5145.00","       5156.75","       5161.83","    3484976","         17988836842.30","     229938","     895744","         25.70"
"DRREDDY","EQ","22-Apr-2021","       5156.75","       5179.95","       5290.00","       5159.00","       5199.95","       5199.85","       5235.76","    2424134","         12692183249.25","     188943","     600128","         24.76"
"DRREDDY","EQ","23-Apr-2021","       5199.85","       5228.00","       5266.15","       5030.10","       5075.00","       5066.70","       5120.81","    2354899","         12058985551.65","     153895","     400720","         17.02"
"DRREDDY","EQ","26-Apr-2021","       5066.70","       5125.00","       5130.00","       5030.25","       5067.00","       5066.70","       5078.16","     950577","          4827178043.70","      70675","     217218","         22.85"
"DRREDDY","EQ","27-Apr-2021","       5066.70","       5090.50","       5116.00","       5021.35","       5062.00","       5057.25","       5065.33","     957835","          4851745714.50","      64767","     260296","         27.18"
"DRREDDY","EQ","28-Apr-2021","       5057.25","       5082.55","       5106.90","       5030.00","       5048.00","       5044.45","       5065.54","     843953","          4275075045.40","      69716","     184756","         21.89"
"DRREDDY","EQ","29-Apr-2021","       5044.45","       5070.25","       5144.00","       5042.30","       5106.00","       5102.30","       5098.90","    1071931","          5465666308.05","      74199","     211996","         19.78"
"DRREDDY","EQ","30-Apr-2021","       5102.30","       5140.00","       5211.00","       5125.15","       5169.00","       5163.10","       5170.81","    1306950","          6757984915.85","      80394","     398563","         30.50"
