Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JSWSTEEL,EQ,01-Apr-21,468.45,470.55,512.95,470,505.5,508.75,497.36,35736230,17773793788,309434,4068045,11.38
JSWSTEEL,EQ,05-Apr-21,508.75,513.5,522,503.2,519.5,517.5,514.15,29711225,15276055394,289831,2079223,7
JSWSTEEL,EQ,06-Apr-21,517.5,523,541.3,520.65,537,537.45,532.59,26533367,14131397634,248328,3285539,12.38
JSWSTEEL,EQ,07-Apr-21,537.45,539.25,566.45,533.2,566.1,562.3,551.79,20024702,11049503487,211011,2733035,13.65
JSWSTEEL,EQ,08-Apr-21,562.3,572,639,563.25,616.2,614.1,605.82,72006147,43622968307,667821,4461404,6.2
JSWSTEEL,EQ,09-Apr-21,614.1,618,630.85,598,621.5,621,613.07,51062079,31304615899,508304,2199838,4.31
JSWSTEEL,EQ,12-Apr-21,621,609,621.75,597.4,605,604.15,607.89,27047004,16441631379,256395,1628103,6.02
JSWSTEEL,EQ,13-Apr-21,604.15,607,632.8,604,629,630.35,617.66,26091257,16115587357,272622,1904545,7.3
JSWSTEEL,EQ,15-Apr-21,630.35,638,644,616,626.05,629.1,628.6,24006650,15090671995,256928,1678951,6.99
JSWSTEEL,EQ,16-Apr-21,629.1,631.9,635.9,616.95,617.45,619.4,627.62,14389029,9030871145,137539,1847978,12.84
JSWSTEEL,EQ,19-Apr-21,619.4,600,625.5,595.1,614.2,615.8,613.16,17044636,10451075067,180876,1245787,7.31
JSWSTEEL,EQ,20-Apr-21,615.8,622.8,630,613.4,619.45,620.6,621.88,13626064,8473799702,135037,2163978,15.88
JSWSTEEL,EQ,22-Apr-21,620.6,615.7,651,611.6,639.05,640.75,638.82,22859059,14602844801,228611,2670471,11.68
JSWSTEEL,EQ,23-Apr-21,640.75,641,652.8,625.85,634.7,635.4,640.2,17931094,11479552421,179209,1557525,8.69
JSWSTEEL,EQ,26-Apr-21,635.4,642,660.7,638.25,657,655.8,651.46,16506538,10753347763,186271,1837617,11.13
JSWSTEEL,EQ,27-Apr-21,655.8,660.65,670.35,658,666.35,665.9,664.15,15799458,10493234008,174214,1222165,7.74
JSWSTEEL,EQ,28-Apr-21,665.9,669.75,676,650.65,662.5,662.65,661.63,15558949,10294304286,175365,2366037,15.21
JSWSTEEL,EQ,29-Apr-21,662.65,672,728.9,668.05,726.2,726.5,704.4,56816962,40021733739,531808,5065568,8.92
JSWSTEEL,EQ,30-Apr-21,726.5,719.6,740,711.45,713.7,717.85,723.92,36449711,26386749810,376696,3416355,9.37
