"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","01-Apr-2021","       6859.20","       6950.00","       6991.50","       6855.00","       6922.00","       6923.90","       6928.21","     660759","          4577878601.15","      57833","     170697","         25.83"
"MARUTI","EQ","05-Apr-2021","       6923.90","       6908.50","       6908.50","       6724.60","       6773.00","       6768.55","       6785.21","     668129","          4533393260.80","      76303","     221541","         33.16"
"MARUTI","EQ","06-Apr-2021","       6768.55","       6818.25","       6846.95","       6720.00","       6767.20","       6751.30","       6786.69","     628262","          4263820393.30","      69291","     179244","         28.53"
"MARUTI","EQ","07-Apr-2021","       6751.30","       6790.00","       6885.00","       6775.05","       6865.20","       6865.00","       6847.39","     598115","          4095525836.10","      57449","     255548","         42.73"
"MARUTI","EQ","08-Apr-2021","       6865.00","       6881.00","       6939.30","       6806.85","       6831.00","       6826.85","       6885.70","     604553","          4162769048.75","      58345","     281504","         46.56"
"MARUTI","EQ","09-Apr-2021","       6826.85","       6850.00","       6875.25","       6778.00","       6835.00","       6827.10","       6827.68","     641327","          4378773598.00","      60183","     277643","         43.29"
"MARUTI","EQ","12-Apr-2021","       6827.10","       6739.85","       6739.85","       6502.15","       6533.00","       6520.60","       6565.82","    1020746","          6702032190.25","     134956","     505862","         49.56"
"MARUTI","EQ","13-Apr-2021","       6520.60","       6520.00","       6845.40","       6468.80","       6825.00","       6815.80","       6733.61","     995718","          6704776133.05","     107496","     283343","         28.46"
"MARUTI","EQ","15-Apr-2021","       6815.80","       6846.60","       6846.85","       6551.00","       6643.00","       6644.25","       6640.08","    1267365","          8415409818.65","     138313","     581577","         45.89"
"MARUTI","EQ","16-Apr-2021","       6644.25","       6675.00","       6784.85","       6606.05","       6633.00","       6648.10","       6680.14","    1000325","          6682314283.55","      81274","     342948","         34.28"
"MARUTI","EQ","19-Apr-2021","       6648.10","       6500.35","       6530.00","       6415.00","       6515.00","       6511.75","       6477.28","     772219","          5001876840.25","      94720","     323706","         41.92"
"MARUTI","EQ","20-Apr-2021","       6511.75","       6615.00","       6678.70","       6558.55","       6640.00","       6646.65","       6616.92","     914142","          6048800237.55","      69676","     401144","         43.88"
"MARUTI","EQ","22-Apr-2021","       6646.65","       6625.95","       6674.90","       6545.00","       6648.00","       6650.10","       6631.11","     667911","          4428993452.85","      75599","     329978","         49.40"
"MARUTI","EQ","23-Apr-2021","       6650.10","       6560.00","       6714.70","       6560.00","       6684.00","       6676.10","       6651.34","     709306","          4717836315.35","      64854","     275503","         38.84"
"MARUTI","EQ","26-Apr-2021","       6676.10","       6690.20","       6789.00","       6600.00","       6645.00","       6638.90","       6678.34","     937344","          6259902831.80","      74474","     464999","         49.61"
"MARUTI","EQ","27-Apr-2021","       6638.90","       6669.95","       6709.00","       6542.00","       6552.00","       6568.75","       6620.68","    1610651","         10663598294.60","     130986","     588617","         36.55"
"MARUTI","EQ","28-Apr-2021","       6568.75","       6568.75","       6650.00","       6545.00","       6581.00","       6573.80","       6598.62","    1406270","          9279437297.75","     117843","     672435","         47.82"
"MARUTI","EQ","29-Apr-2021","       6573.80","       6635.00","       6647.45","       6552.00","       6562.00","       6565.65","       6580.77","     757075","          4982135010.10","      64393","     352987","         46.63"
"MARUTI","EQ","30-Apr-2021","       6565.65","       6537.10","       6559.60","       6421.00","       6438.35","       6455.65","       6500.51","     849997","          5525418155.00","      95248","     382594","         45.01"
