"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NESTLEIND","EQ","01-Apr-2021","      17165.20","      17165.20","      17188.55","      16967.60","      17051.00","      17083.15","      17061.31","      83176","          1419091403.35","      15149","      40818","         49.07"
"NESTLEIND","EQ","05-Apr-2021","      17083.15","      17150.00","      17150.00","      16723.90","      16858.85","      16880.55","      16903.01","      81557","          1378559123.35","      17814","      45634","         55.95"
"NESTLEIND","EQ","06-Apr-2021","      16880.55","      16910.00","      17120.00","      16800.00","      17098.75","      17081.70","      17016.22","      64193","          1092322155.55","      12924","      34034","         53.02"
"NESTLEIND","EQ","07-Apr-2021","      17081.70","      17100.00","      17865.95","      17025.00","      17416.95","      17409.85","      17476.17","     178465","          3118885367.25","      42482","      79779","         44.70"
"NESTLEIND","EQ","08-Apr-2021","      17409.85","      17425.05","      17759.00","      17326.85","      17716.40","      17689.90","      17577.74","     118006","          2074278931.40","      29247","      62403","         52.88"
"NESTLEIND","EQ","09-Apr-2021","      17689.90","      17611.10","      17849.00","      17500.00","      17635.00","      17592.40","      17682.05","      73944","          1307481149.20","      19683","      24597","         33.26"
"NESTLEIND","EQ","12-Apr-2021","      17592.40","      17375.15","      17620.00","      17341.10","      17454.20","      17501.70","      17489.85","      57532","          1006225886.00","      16220","      22422","         38.97"
"NESTLEIND","BL","13-Apr-2021","      10600.65","      17100.00","      17100.00","      17100.00","      17100.00","      17100.00","      17100.00","      42978","           734923800.00","          2","-","-"
"NESTLEIND","EQ","13-Apr-2021","      17501.70","      17587.00","      17599.95","      17040.10","      17210.00","      17168.85","      17247.47","     110527","          1906311099.55","      20032","      53794","         48.67"
"NESTLEIND","EQ","15-Apr-2021","      17168.85","      17325.00","      17400.00","      16775.00","      16935.00","      16875.65","      16945.04","     118314","          2004835813.40","      23173","      65138","         55.06"
"NESTLEIND","EQ","16-Apr-2021","      16875.65","      16969.00","      17335.00","      16862.80","      17189.00","      17252.10","      17121.55","      94190","          1612678355.55","      19855","      48397","         51.38"
"NESTLEIND","EQ","19-Apr-2021","      17252.10","      17201.05","      17240.00","      16950.00","      17051.05","      17089.95","      17073.85","      50938","           869707895.20","      14066","      21356","         41.93"
"NESTLEIND","EQ","20-Apr-2021","      17089.95","      17420.00","      17420.00","      16890.05","      17115.00","      17095.65","      17114.10","     103687","          1774509836.95","      22331","      34942","         33.70"
"NESTLEIND","EQ","22-Apr-2021","      17095.65","      17190.00","      17190.00","      16551.25","      16789.90","      16790.45","      16809.22","     204431","          3436324659.80","      45222","      62339","         30.49"
"NESTLEIND","EQ","23-Apr-2021","      16790.45","      16785.00","      16799.30","      16605.00","      16630.00","      16625.70","      16669.66","      68600","          1143538338.15","      18481","      27117","         39.53"
"NESTLEIND","EQ","26-Apr-2021","      16625.70","      16799.05","      16895.00","      16663.65","      16865.30","      16870.60","      16811.15","     152362","          2561380194.30","      14294","     117593","         77.18"
"NESTLEIND","EQ","27-Apr-2021","      16870.60","      16899.00","      16930.00","      16750.00","      16791.00","      16779.00","      16808.88","      44651","           750533294.95","      14171","      21944","         49.15"
"NESTLEIND","EQ","28-Apr-2021","      16779.00","      16775.00","      16831.10","      16611.00","      16616.05","      16633.80","      16681.89","      86876","          1449255925.65","      18998","      54382","         62.60"
"NESTLEIND","EQ","29-Apr-2021","      16633.80","      16679.00","      16714.60","      16480.00","      16510.00","      16502.55","      16545.14","      80207","          1327036331.05","      19768","      40477","         50.47"
"NESTLEIND","EQ","30-Apr-2021","      16502.55","      16500.00","      16569.20","      16255.00","      16320.20","      16309.25","      16375.64","      97783","          1601259328.30","      24063","      54977","         56.22"
