"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","01-Apr-2021","        811.85","        821.00","        868.90","        819.00","        858.90","        863.05","        842.25","   36842098","         31030150334.05","     405809","    6576525","         17.85"
"TATASTEEL","EQ","05-Apr-2021","        863.05","        862.00","        877.85","        837.15","        867.30","        867.75","        859.01","   30575986","         26264995006.70","     380909","    2172668","          7.11"
"TATASTEEL","EQ","06-Apr-2021","        867.75","        875.50","        882.50","        858.15","        861.55","        862.85","        869.06","   20778920","         18058223023.75","     250646","    3287853","         15.82"
"TATASTEEL","EQ","07-Apr-2021","        862.85","        869.50","        885.00","        864.65","        876.35","        874.85","        875.90","   17113208","         14989472735.25","     217318","    2643854","         15.45"
"TATASTEEL","EQ","08-Apr-2021","        874.85","        884.00","        953.65","        882.70","        922.00","        918.40","        919.87","   53063056","         48811243412.30","     626502","    4841514","          9.12"
"TATASTEEL","EQ","09-Apr-2021","        918.40","        921.00","        930.00","        885.70","        898.55","        899.50","        902.81","   32179069","         29051631627.75","     362106","    6358858","         19.76"
"TATASTEEL","EQ","12-Apr-2021","        899.50","        876.55","        893.20","        843.35","        855.85","        851.55","        868.35","   22135504","         19221265866.40","     302778","    3289066","         14.86"
"TATASTEEL","EQ","13-Apr-2021","        851.55","        862.00","        881.60","        849.00","        878.95","        879.00","        868.07","   20428502","         17733271789.35","     246512","    2169612","         10.62"
"TATASTEEL","EQ","15-Apr-2021","        879.00","        892.00","        911.50","        879.50","        894.00","        898.20","        895.21","   21856357","         19566018525.20","     285071","    3380477","         15.47"
"TATASTEEL","EQ","16-Apr-2021","        898.20","        903.80","        914.40","        886.25","        887.25","        890.25","        901.15","   17398598","         15678826911.20","     217303","    2786663","         16.02"
"TATASTEEL","EQ","19-Apr-2021","        890.25","        869.80","        899.00","        860.00","        886.05","        888.05","        885.77","   19146996","         16959813271.25","     255168","    2411869","         12.60"
"TATASTEEL","EQ","20-Apr-2021","        888.05","        900.00","        905.75","        882.00","        892.35","        894.00","        894.65","   16915293","         15133270032.95","     202685","    2881739","         17.04"
"TATASTEEL","EQ","22-Apr-2021","        894.00","        899.95","        938.65","        897.05","        922.50","        921.40","        926.15","   31902815","         29546798526.25","     434593","    5185765","         16.25"
"TATASTEEL","EQ","23-Apr-2021","        921.40","        929.80","        945.00","        910.75","        924.55","        925.60","        930.73","   24752386","         23037863140.35","     307302","    3338169","         13.49"
"TATASTEEL","EQ","26-Apr-2021","        925.60","        935.00","        956.00","        930.05","        942.50","        940.75","        942.98","   21234858","         20024066611.35","     274958","    4584617","         21.59"
"TATASTEEL","EQ","27-Apr-2021","        940.75","        948.30","        983.00","        944.30","        982.00","        977.75","        965.43","   24904515","         24043462401.50","     331493","    3575969","         14.36"
"TATASTEEL","EQ","28-Apr-2021","        977.75","        985.00","        986.00","        962.00","        971.00","        971.40","        972.08","   20447968","         19877003898.35","     255599","    3550908","         17.37"
"TATASTEEL","EQ","29-Apr-2021","        971.40","        983.00","       1036.95","        983.00","       1035.00","       1031.35","       1015.76","   44718647","         45423591343.45","     554647","    5539528","         12.39"
"TATASTEEL","EQ","30-Apr-2021","       1031.35","       1024.00","       1052.60","       1011.10","       1025.60","       1034.00","       1031.95","   28129738","         29028537385.50","     385840","    3536863","         12.57"
