"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","01-Apr-2021","        991.45","       1000.00","       1007.80","        986.00","        990.20","        992.15","        994.99","    3555291","          3537485541.65","      81967","    1853314","         52.13"
"TECHM","EQ","05-Apr-2021","        992.15","        992.00","       1007.20","        978.20","        998.60","        997.70","        996.23","    5118272","          5098979277.25","     110183","    2384209","         46.58"
"TECHM","EQ","06-Apr-2021","        997.70","       1006.00","       1008.00","        988.55","        992.00","        991.35","        998.14","    2395572","          2391125209.15","      72684","    1200526","         50.11"
"TECHM","EQ","07-Apr-2021","        991.35","        992.00","       1005.65","        982.10","       1000.20","       1002.40","        996.20","    2974419","          2963106334.15","      73301","    1273844","         42.83"
"TECHM","EQ","08-Apr-2021","       1002.40","       1008.00","       1049.85","       1005.00","       1028.55","       1029.00","       1031.44","    6737118","          6948939994.25","     150807","    1629540","         24.19"
"TECHM","EQ","09-Apr-2021","       1029.00","       1028.95","       1056.80","       1016.55","       1051.00","       1053.00","       1040.36","    6029994","          6273378015.85","     110005","    3436041","         56.98"
"TECHM","EQ","12-Apr-2021","       1053.00","       1051.00","       1059.05","       1016.80","       1039.85","       1039.85","       1035.38","    7896295","          8175635553.55","     138618","    4083369","         51.71"
"TECHM","EQ","13-Apr-2021","       1039.85","       1045.00","       1050.25","        983.00","       1005.00","       1001.85","       1002.91","    6448995","          6467768163.90","     120182","    2401702","         37.24"
"TECHM","EQ","15-Apr-2021","       1001.85","       1001.85","       1007.80","        970.30","        992.00","        993.15","        992.52","    4373215","          4340486471.65","     109988","    2161676","         49.43"
"TECHM","EQ","16-Apr-2021","        993.15","        998.00","       1013.50","        996.00","       1005.00","       1010.30","       1005.79","    2660763","          2676180540.30","      59313","    1022838","         38.44"
"TECHM","EQ","19-Apr-2021","       1010.30","        999.10","       1009.40","        983.30","        996.05","       1000.10","        998.12","    2777425","          2772205628.00","      80377","    1165423","         41.96"
"TECHM","EQ","20-Apr-2021","       1000.10","        996.00","       1007.50","        973.35","        980.90","        983.40","        986.91","    4028636","          3975899486.85","      80344","    1774542","         44.05"
"TECHM","EQ","22-Apr-2021","        983.40","        973.60","        985.50","        960.65","        966.00","        967.80","        970.94","    5085190","          4937406514.00","     127360","    2525996","         49.67"
"TECHM","EQ","23-Apr-2021","        967.80","        966.50","        970.95","        945.40","        950.70","        950.20","        956.89","    3916517","          3747659078.75","      88645","    1835343","         46.86"
"TECHM","EQ","26-Apr-2021","        950.20","        951.00","        970.00","        937.00","        970.00","        962.20","        949.75","    5053998","          4800042349.50","      84936","    1947524","         38.53"
"TECHM","EQ","27-Apr-2021","        962.20","        962.70","        987.60","        944.15","        968.80","        969.25","        962.64","   10497935","         10105775202.90","     209748","    2147311","         20.45"
"TECHM","EQ","28-Apr-2021","        969.25","        975.00","        980.00","        968.00","        977.90","        977.40","        974.22","    2968625","          2892098130.60","      83143","    1490701","         50.22"
"TECHM","EQ","29-Apr-2021","        977.40","        985.00","        985.00","        970.55","        974.60","        976.90","        977.28","    2747579","          2685149399.00","      62023","    1536386","         55.92"
"TECHM","EQ","30-Apr-2021","        976.90","        973.80","        976.90","        955.40","        958.85","        960.40","        968.21","    3129105","          3029643105.85","      70097","    2104528","         67.26"
