"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","01-Apr-2021","        414.15","        418.85","        422.85","        414.35","        416.70","        416.40","        417.72","    7596943","          3173383107.85","      85649","    1423843","         18.74"
"WIPRO","EQ","05-Apr-2021","        416.40","        416.45","        427.90","        416.20","        425.90","        425.45","        423.14","   21216395","          8977445326.55","     189433","    5936319","         27.98"
"WIPRO","EQ","06-Apr-2021","        425.45","        427.95","        428.90","        422.35","        426.80","        427.15","        425.99","    8320520","          3544424199.30","      84993","    2112688","         25.39"
"WIPRO","EQ","07-Apr-2021","        427.15","        425.00","        439.00","        423.40","        437.25","        438.00","        431.67","   13867650","          5986266363.55","     135260","    5235867","         37.76"
"WIPRO","EQ","08-Apr-2021","        438.00","        441.95","        445.95","        440.00","        442.00","        442.10","        442.94","   12916614","          5721239195.85","     131870","    3856670","         29.86"
"WIPRO","EQ","09-Apr-2021","        442.10","        442.90","        451.35","        440.00","        450.90","        450.10","        446.50","   11699385","          5223736476.35","     122731","    2960383","         25.30"
"WIPRO","EQ","12-Apr-2021","        450.10","        450.00","        450.10","        429.40","        435.00","        432.60","        435.75","   15086267","          6573824304.60","     193573","    3877022","         25.70"
"WIPRO","EQ","13-Apr-2021","        432.60","        432.00","        437.55","        412.60","        421.75","        418.95","        420.89","   20420320","          8594711116.60","     186965","    5109038","         25.02"
"WIPRO","EQ","15-Apr-2021","        418.95","        418.90","        434.45","        415.00","        433.70","        430.70","        428.60","   26758891","         11468829847.85","     220999","    8256473","         30.86"
"WIPRO","EQ","16-Apr-2021","        430.70","        441.70","        473.65","        436.00","        469.45","        469.20","        464.06","  109361636","         50750032335.10","     793471","   20785895","         19.01"
"WIPRO","EQ","19-Apr-2021","        469.20","        463.00","        477.95","        461.10","        471.50","        472.75","        470.56","   43809855","         20615137542.65","     369723","    6830051","         15.59"
"WIPRO","EQ","20-Apr-2021","        472.75","        476.00","        477.55","        467.80","        469.00","        470.10","        471.11","   17730691","          8353185513.10","     153624","    4484639","         25.29"
"WIPRO","EQ","22-Apr-2021","        470.10","        471.60","        494.50","        471.60","        486.50","        486.65","        486.53","   42620929","         20736285499.95","     374711","    9538175","         22.38"
"WIPRO","EQ","23-Apr-2021","        486.65","        483.55","        487.35","        474.35","        475.40","        475.70","        481.46","   13596003","          6545914363.80","     133513","    3125332","         22.99"
"WIPRO","EQ","26-Apr-2021","        475.70","        479.40","        483.85","        477.00","        482.00","        480.30","        479.77","    9314644","          4468926901.70","      89443","    3081057","         33.08"
"WIPRO","EQ","27-Apr-2021","        480.30","        481.40","        487.00","        481.00","        483.85","        485.05","        484.07","    7209467","          3489909710.25","     112831","    2548269","         35.35"
"WIPRO","EQ","28-Apr-2021","        485.05","        485.85","        493.20","        481.25","        488.65","        489.30","        487.55","    9615534","          4688083122.30","     123736","    3254249","         33.84"
"WIPRO","EQ","29-Apr-2021","        489.30","        492.70","        492.80","        485.70","        489.00","        489.85","        489.45","    7641133","          3739988896.45","      82446","    2534352","         33.17"
"WIPRO","EQ","30-Apr-2021","        489.85","        491.50","        511.80","        489.30","        492.50","        492.75","        501.42","   29115571","         14599246633.15","     252478","    5182914","         17.80"
